"X","x"
587,"TreeConifer"
588,"TreeConifer"
589,"Abiotic"
590,"ShrubDecid"
591,"ShrubEvergreen"
592,"TreeConifer"
593,"Abiotic"
594,"TreeConifer"
595,"TreeConifer"
596,"TreeConifer"
597,"TreeConifer"
598,"TreeConifer"
599,"Abiotic"
600,"TreeConifer"
601,"TreeConifer"
602,"Graminoid"
603,"ShrubEvergreen"
604,"TreeConifer"
605,"TreeConifer"
606,"TreeConifer"
607,"ShrubEvergreen"
608,"Lichen"
609,"TreeConifer"
610,"TreeConifer"
611,"TreeConifer"
612,"Abiotic"
613,"Graminoid"
614,"Graminoid"
615,"TreeConifer"
616,"TreeConifer"
617,"TreeConifer"
618,"TreeConifer"
619,"Lichen"
620,"TreeConifer"
621,"TreeConifer"
622,"TreeConifer"
623,"TreeConifer"
624,"TreeConifer"
625,"Abiotic"
626,"Abiotic"
627,"ShrubEvergreen"
628,"TreeConifer"
629,"ShrubDecid"
630,"TreeConifer"
631,"TreeConifer"
632,"TreeConifer"
633,"TreeBroadleaf"
634,"ShrubDecid"
635,"TreeConifer"
636,"TreeConifer"
637,"Abiotic"
638,"TreeConifer"
639,"Abiotic"
640,"TreeBroadleaf"
641,"TreeBroadleaf"
642,"TreeConifer"
643,"TreeConifer"
644,"TreeConifer"
645,"ShrubEvergreen"
646,"TreeConifer"
647,"TreeConifer"
648,"TreeConifer"
649,"TreeConifer"
650,"TreeConifer"
651,"TreeConifer"
652,"TreeConifer"
653,"Abiotic"
654,"TreeConifer"
655,"TreeConifer"
656,"Abiotic"
657,"Abiotic"
658,"Abiotic"
659,"TreeConifer"
660,"TreeConifer"
661,"TreeConifer"
662,"Abiotic"
663,"TreeConifer"
664,"TreeConifer"
665,"TreeConifer"
666,"TreeConifer"
667,"TreeConifer"
668,"TreeConifer"
669,"TreeConifer"
670,"TreeConifer"
671,"TreeConifer"
672,"TreeBroadleaf"
673,"TreeConifer"
674,"TreeConifer"
675,"Abiotic"
676,"TreeConifer"
677,"TreeConifer"
678,"TreeConifer"
679,"TreeConifer"
680,"TreeConifer"
681,"TreeConifer"
682,"TreeBroadleaf"
683,"TreeBroadleaf"
684,"TreeConifer"
685,"TreeBroadleaf"
686,"TreeConifer"
687,"TreeConifer"
688,"Abiotic"
689,"TreeConifer"
690,"TreeConifer"
691,"TreeConifer"
692,"TreeConifer"
693,"Abiotic"
694,"TreeConifer"
695,"TreeConifer"
696,"TreeConifer"
697,"Graminoid"
698,"TreeBroadleaf"
699,"TreeConifer"
700,"TreeConifer"
701,"TreeConifer"
702,"TreeConifer"
703,"TreeConifer"
704,"TreeConifer"
705,"TreeConifer"
706,"TreeConifer"
707,"TreeConifer"
708,"TreeBroadleaf"
709,"TreeConifer"
710,"TreeConifer"
711,"TreeConifer"
712,"TreeConifer"
713,"TreeConifer"
714,"TreeConifer"
715,"TreeConifer"
716,"TreeConifer"
717,"Abiotic"
718,"TreeConifer"
719,"TreeConifer"
720,"TreeConifer"
721,"TreeBroadleaf"
722,"TreeConifer"
723,"Abiotic"
724,"TreeConifer"
725,"TreeConifer"
726,"TreeConifer"
727,"TreeConifer"
728,"TreeConifer"
729,"TreeConifer"
730,"TreeConifer"
731,"TreeConifer"
732,"TreeConifer"
733,"TreeConifer"
734,"TreeConifer"
735,"Abiotic"
736,"TreeConifer"
737,"Graminoid"
738,"Graminoid"
739,"TreeConifer"
740,"TreeConifer"
741,"TreeConifer"
742,"TreeConifer"
743,"TreeConifer"
744,"Lichen"
745,"Moss"
746,"TreeConifer"
747,"TreeConifer"
748,"Abiotic"
749,"TreeConifer"
750,"TreeConifer"
751,"TreeConifer"
752,"TreeConifer"
753,"TreeConifer"
754,"Abiotic"
755,"TreeConifer"
756,"ShrubDecid"
757,"TreeConifer"
758,"TreeConifer"
759,"Abiotic"
760,"Abiotic"
761,"TreeConifer"
762,"Abiotic"
763,"TreeConifer"
764,"TreeConifer"
765,"TreeConifer"
766,"TreeConifer"
767,"Graminoid"
768,"TreeConifer"
769,"TreeConifer"
770,"TreeConifer"
771,"TreeConifer"
772,"Abiotic"
773,"TreeConifer"
774,"Abiotic"
775,"Abiotic"
776,"TreeBroadleaf"
777,"TreeConifer"
778,"TreeConifer"
779,"TreeConifer"
780,"Abiotic"
781,"TreeConifer"
782,"TreeConifer"
783,"TreeConifer"
784,"TreeConifer"
785,"Abiotic"
786,"Abiotic"
787,"Abiotic"
788,"Graminoid"
789,"TreeConifer"
790,"ShrubEvergreen"
791,"Abiotic"
792,"TreeConifer"
793,"TreeConifer"
794,"TreeConifer"
795,"TreeConifer"
796,"TreeConifer"
797,"TreeConifer"
798,"TreeConifer"
799,"Moss"
800,"Graminoid"
801,"TreeConifer"
802,"TreeConifer"
803,"TreeConifer"
804,"TreeConifer"
805,"TreeConifer"
806,"Graminoid"
807,"TreeConifer"
808,"ShrubEvergreen"
809,"TreeConifer"
810,"TreeBroadleaf"
811,"Abiotic"
812,"TreeConifer"
813,"TreeConifer"
814,"TreeConifer"
815,"TreeConifer"
816,"TreeConifer"
817,"TreeConifer"
818,"TreeConifer"
819,"TreeConifer"
820,"Lichen"
821,"Moss"
822,"TreeConifer"
823,"TreeConifer"
824,"TreeConifer"
825,"Abiotic"
826,"Lichen"
827,"TreeConifer"
828,"TreeConifer"
829,"TreeConifer"
830,"Abiotic"
831,"TreeConifer"
832,"TreeConifer"
833,"Abiotic"
834,"Abiotic"
835,"Abiotic"
836,"TreeConifer"
837,"TreeConifer"
838,"TreeConifer"
839,"Abiotic"
840,"Abiotic"
841,"TreeConifer"
842,"TreeConifer"
843,"TreeConifer"
844,"TreeConifer"
845,"TreeConifer"
846,"TreeConifer"
847,"TreeConifer"
848,"TreeConifer"
849,"TreeConifer"
850,"TreeConifer"
851,"TreeConifer"
852,"TreeConifer"
853,"TreeConifer"
854,"TreeConifer"
855,"TreeConifer"
856,"TreeConifer"
857,"TreeConifer"
858,"TreeConifer"
859,"TreeConifer"
860,"TreeConifer"
861,"TreeConifer"
862,"TreeConifer"
863,"ShrubEvergreen"
864,"TreeConifer"
865,"Lichen"
866,"TreeConifer"
867,"TreeConifer"
868,"TreeBroadleaf"
869,"TreeConifer"
870,"TreeConifer"
871,"TreeConifer"
872,"Graminoid"
873,"TreeConifer"
874,"TreeConifer"
875,"TreeConifer"
876,"TreeConifer"
877,"Abiotic"
878,"TreeConifer"
879,"TreeConifer"
880,"TreeConifer"
881,"TreeConifer"
882,"Moss"
883,"TreeConifer"
884,"TreeConifer"
885,"Abiotic"
886,"TreeConifer"
887,"TreeConifer"
888,"TreeConifer"
889,"Abiotic"
890,"TreeBroadleaf"
891,"Moss"
892,"Abiotic"
893,"TreeConifer"
894,"TreeConifer"
895,"Abiotic"
896,"Abiotic"
897,"TreeConifer"
898,"TreeConifer"
899,"Abiotic"
900,"TreeConifer"
901,"ShrubEvergreen"
902,"TreeConifer"
903,"TreeConifer"
904,"TreeConifer"
905,"Abiotic"
906,"Abiotic"
907,"TreeConifer"
908,"TreeConifer"
909,"Abiotic"
910,"Abiotic"
911,"TreeConifer"
912,"TreeConifer"
913,"Abiotic"
914,"TreeConifer"
915,"TreeConifer"
916,"TreeConifer"
917,"ShrubDecid"
918,"TreeConifer"
919,"TreeConifer"
920,"TreeConifer"
921,"TreeConifer"
922,"Abiotic"
923,"TreeConifer"
924,"Abiotic"
925,"TreeConifer"
926,"TreeConifer"
927,"ShrubDecid"
928,"Abiotic"
929,"TreeConifer"
930,"Moss"
931,"Abiotic"
932,"TreeConifer"
933,"TreeBroadleaf"
934,"TreeConifer"
935,"TreeConifer"
936,"TreeConifer"
937,"TreeConifer"
938,"TreeConifer"
939,"Abiotic"
940,"TreeConifer"
941,"TreeConifer"
942,"TreeConifer"
943,"TreeConifer"
944,"TreeConifer"
945,"TreeConifer"
946,"TreeConifer"
947,"TreeConifer"
948,"TreeConifer"
949,"TreeConifer"
950,"Abiotic"
951,"TreeConifer"
952,"TreeConifer"
953,"TreeConifer"
954,"TreeConifer"
955,"TreeConifer"
956,"TreeConifer"
957,"TreeConifer"
958,"Graminoid"
959,"TreeConifer"
960,"ShrubEvergreen"
961,"TreeConifer"
962,"TreeConifer"
963,"TreeConifer"
964,"TreeConifer"
965,"TreeConifer"
966,"ShrubEvergreen"
967,"Abiotic"
968,"ShrubEvergreen"
969,"Graminoid"
970,"Abiotic"
971,"Abiotic"
972,"TreeConifer"
973,"TreeConifer"
974,"TreeConifer"
975,"Abiotic"
976,"Abiotic"
977,"TreeConifer"
978,"ShrubEvergreen"
979,"TreeConifer"
980,"TreeConifer"
981,"ShrubEvergreen"
982,"TreeConifer"
983,"TreeConifer"
984,"TreeConifer"
985,"Abiotic"
986,"TreeConifer"
987,"TreeConifer"
988,"TreeConifer"
989,"TreeConifer"
990,"Abiotic"
991,"Abiotic"
992,"Moss"
993,"TreeConifer"
994,"TreeConifer"
995,"Abiotic"
996,"TreeConifer"
997,"TreeConifer"
998,"TreeConifer"
999,"TreeConifer"
1000,"TreeConifer"
1001,"ShrubEvergreen"
1002,"Lichen"
1003,"TreeConifer"
1004,"TreeConifer"
1005,"TreeConifer"
1006,"TreeConifer"
1007,"TreeConifer"
1008,"TreeConifer"
1009,"TreeConifer"
1010,"TreeConifer"
1011,"TreeConifer"
1012,"TreeConifer"
1013,"Abiotic"
1014,"TreeConifer"
1015,"TreeConifer"
1016,"TreeConifer"
1017,"TreeConifer"
1018,"ShrubEvergreen"
1019,"TreeConifer"
1020,"TreeConifer"
1021,"TreeConifer"
1022,"TreeConifer"
1023,"ShrubEvergreen"
1024,"TreeConifer"
1025,"TreeConifer"
1026,"Abiotic"
1027,"ShrubEvergreen"
1028,"ShrubEvergreen"
1029,"TreeConifer"
1030,"Moss"
1031,"TreeConifer"
1032,"TreeConifer"
1033,"TreeConifer"
1034,"ShrubEvergreen"
1035,"TreeConifer"
1036,"Abiotic"
1037,"TreeConifer"
1038,"ShrubEvergreen"
1039,"TreeConifer"
1040,"Graminoid"
1041,"Abiotic"
1042,"TreeConifer"
1043,"TreeConifer"
1044,"Graminoid"
1045,"TreeBroadleaf"
1046,"TreeConifer"
1047,"ShrubDecid"
1048,"TreeConifer"
1049,"Abiotic"
1050,"TreeConifer"
1051,"TreeConifer"
1052,"Abiotic"
1053,"TreeConifer"
1054,"TreeConifer"
1055,"TreeBroadleaf"
1056,"Lichen"
1057,"TreeConifer"
1058,"TreeConifer"
1059,"TreeConifer"
1060,"Abiotic"
1061,"TreeConifer"
1062,"TreeConifer"
1063,"TreeConifer"
1064,"TreeConifer"
1065,"TreeConifer"
1066,"Abiotic"
1067,"TreeConifer"
1068,"TreeConifer"
1069,"TreeConifer"
1070,"TreeConifer"
1071,"TreeConifer"
1072,"Graminoid"
1073,"ShrubDecid"
1074,"Graminoid"
1075,"TreeConifer"
1076,"TreeConifer"
1077,"TreeConifer"
1078,"TreeConifer"
1079,"TreeConifer"
1080,"TreeConifer"
1081,"Abiotic"
1082,"TreeConifer"
1083,"TreeConifer"
1084,"ShrubEvergreen"
1085,"Abiotic"
1086,"Abiotic"
1087,"TreeConifer"
1088,"TreeConifer"
1089,"TreeConifer"
1090,"TreeConifer"
1091,"Abiotic"
1092,"TreeConifer"
1093,"TreeConifer"
1094,"TreeConifer"
1095,"Graminoid"
1096,"TreeConifer"
1097,"TreeConifer"
1098,"TreeConifer"
1099,"TreeConifer"
1100,"TreeConifer"
1101,"TreeConifer"
1102,"Abiotic"
1103,"TreeConifer"
1104,"Abiotic"
1105,"Abiotic"
1106,"Abiotic"
1107,"TreeConifer"
1108,"Abiotic"
1109,"Abiotic"
1110,"Abiotic"
1111,"TreeConifer"
1112,"Abiotic"
1113,"TreeConifer"
1114,"TreeConifer"
1115,"Graminoid"
1116,"TreeConifer"
1117,"TreeConifer"
1118,"TreeConifer"
1119,"TreeConifer"
1120,"TreeConifer"
1121,"TreeConifer"
1122,"TreeConifer"
1123,"TreeConifer"
1124,"TreeConifer"
1125,"TreeConifer"
1126,"TreeConifer"
1127,"TreeConifer"
1128,"TreeConifer"
1129,"ShrubEvergreen"
1130,"TreeConifer"
1131,"TreeConifer"
1132,"TreeConifer"
1133,"Abiotic"
1134,"TreeConifer"
1135,"Graminoid"
1136,"TreeConifer"
1137,"TreeConifer"
1138,"TreeConifer"
1139,"Abiotic"
1140,"TreeConifer"
1141,"Abiotic"
1142,"Abiotic"
1143,"TreeConifer"
1144,"TreeConifer"
1145,"TreeConifer"
1146,"Abiotic"
1147,"TreeConifer"
1148,"TreeConifer"
1149,"TreeConifer"
1150,"TreeConifer"
1151,"TreeConifer"
1152,"TreeConifer"
1153,"TreeConifer"
1154,"TreeConifer"
1155,"TreeConifer"
1156,"TreeConifer"
1157,"TreeConifer"
1158,"TreeConifer"
1159,"TreeConifer"
1160,"Moss"
1161,"TreeConifer"
1162,"TreeConifer"
1163,"TreeConifer"
1164,"TreeConifer"
1165,"TreeConifer"
1166,"TreeConifer"
1167,"Abiotic"
1168,"TreeConifer"
1169,"Abiotic"
1170,"Abiotic"
1171,"TreeConifer"
1172,"Moss"
1173,"TreeConifer"
1174,"ShrubEvergreen"
1175,"TreeConifer"
1176,"TreeConifer"
1177,"TreeConifer"
1178,"Abiotic"
1179,"Abiotic"
1180,"Abiotic"
1181,"TreeConifer"
1182,"TreeConifer"
1183,"TreeConifer"
1184,"TreeConifer"
1185,"TreeConifer"
1186,"TreeConifer"
1187,"TreeConifer"
1188,"TreeConifer"
1189,"Abiotic"
1190,"ShrubEvergreen"
1191,"TreeConifer"
1192,"Abiotic"
1193,"TreeConifer"
1194,"TreeConifer"
1195,"Abiotic"
1196,"Lichen"
1197,"TreeConifer"
1198,"TreeConifer"
1199,"TreeConifer"
1200,"TreeBroadleaf"
1201,"TreeConifer"
1202,"TreeConifer"
1203,"Abiotic"
1204,"TreeConifer"
1205,"TreeConifer"
1206,"Moss"
1207,"TreeConifer"
1208,"TreeConifer"
1209,"Moss"
1210,"TreeConifer"
1211,"TreeConifer"
1212,"ShrubEvergreen"
1213,"TreeBroadleaf"
1214,"TreeConifer"
1215,"TreeConifer"
1216,"TreeConifer"
1217,"TreeConifer"
1218,"TreeConifer"
1219,"Lichen"
1220,"TreeConifer"
1221,"TreeConifer"
1222,"TreeConifer"
1223,"TreeConifer"
1224,"ShrubEvergreen"
1225,"ShrubEvergreen"
1226,"TreeConifer"
1227,"Abiotic"
1228,"TreeConifer"
1229,"TreeConifer"
1230,"Graminoid"
1231,"TreeConifer"
1232,"TreeConifer"
1233,"TreeConifer"
1234,"TreeConifer"
1235,"TreeConifer"
1236,"TreeConifer"
1237,"TreeConifer"
1238,"Abiotic"
1239,"TreeConifer"
1240,"TreeConifer"
1241,"TreeConifer"
1242,"TreeBroadleaf"
1243,"TreeConifer"
1244,"Moss"
1245,"TreeConifer"
1246,"TreeConifer"
1247,"Lichen"
1248,"Abiotic"
1249,"TreeConifer"
1250,"TreeConifer"
1251,"TreeConifer"
1252,"TreeConifer"
1253,"TreeConifer"
1254,"TreeConifer"
1255,"Moss"
