"","x"
"181","ShrubDecid"
"182","ShrubDecid"
"183","ShrubDecid"
"184","ShrubDecid"
"185","ShrubDecid"
"186","ShrubDecid"
"187","ShrubDecid"
"188","ShrubDecid"
"189","TreeBroadleaf"
"190","TreeBroadleaf"
"191","TreeBroadleaf"
"192","TreeBroadleaf"
"193","Graminoid"
"194","Graminoid"
"195","Graminoid"
"196","Graminoid"
"197","Graminoid"
"198","Graminoid"
"199","Graminoid"
"200","Graminoid"
"201","Graminoid"
"202","Graminoid"
"203","Graminoid"
"204","Graminoid"
"205","Graminoid"
"206","Graminoid"
"207","Graminoid"
"208","Graminoid"
"209","Graminoid"
"210","Graminoid"
"211","Graminoid"
"212","Graminoid"
"213","Graminoid"
"214","Graminoid"
"215","Graminoid"
"216","Graminoid"
"217","Graminoid"
"218","Graminoid"
"219","Graminoid"
"220","Graminoid"
"221","Graminoid"
"222","Graminoid"
"223","Graminoid"
"224","Graminoid"
"225","Graminoid"
"226","Graminoid"
"227","Graminoid"
"228","Graminoid"
"229","Graminoid"
"230","Graminoid"
"231","Graminoid"
"232","Graminoid"
"233","Graminoid"
"234","Graminoid"
"235","Graminoid"
"236","ShrubEvergreen"
"237","ShrubEvergreen"
"238","ShrubEvergreen"
"239","ShrubEvergreen"
"240","ShrubEvergreen"
"241","ShrubEvergreen"
"242","ShrubEvergreen"
"243","ShrubEvergreen"
"244","ShrubEvergreen"
"245","Moss"
"246","Moss"
"247","Moss"
"248","Moss"
"249","Moss"
"250","Lichen"
"251","Lichen"
"252","Lichen"
"253","Lichen"
"254","Lichen"
"255","Lichen"
"256","Lichen"
"257","Lichen"
"258","Lichen"
"259","Lichen"
"260","Lichen"
"261","Lichen"
"262","Lichen"
"263","Lichen"
"264","Lichen"
"265","Lichen"
"266","Lichen"
"267","Lichen"
"268","Lichen"
"269","Lichen"
"270","Lichen"
"271","Lichen"
"272","Lichen"
"273","Lichen"
"274","Lichen"
"275","Lichen"
"276","Lichen"
"277","Lichen"
"278","Lichen"
"279","Lichen"
"280","Lichen"
"281","Lichen"
"282","Lichen"
"283","Lichen"
"284","Lichen"
"285","Lichen"
"286","Lichen"
"287","Lichen"
"288","Lichen"
"289","Lichen"
"290","Lichen"
"291","Lichen"
"292","Lichen"
"293","Lichen"
"294","Lichen"
"295","Lichen"
"296","Lichen"
"297","Lichen"
"298","Lichen"
"299","Lichen"
"300","Lichen"
"301","Lichen"
"302","Lichen"
"303","Lichen"
"304","Lichen"
"305","Lichen"
"306","Lichen"
"307","Lichen"
"308","Lichen"
"309","Lichen"
"310","Lichen"
"311","Lichen"
"312","Lichen"
"313","Lichen"
"314","Lichen"
"315","Lichen"
"316","Lichen"
"317","Lichen"
"318","Lichen"
"319","Lichen"
"320","Lichen"
"321","Lichen"
"322","Lichen"
"323","Lichen"
"324","Lichen"
"325","Lichen"
"326","Lichen"
"327","Lichen"
"328","Lichen"
"329","Lichen"
"330","Lichen"
"331","Lichen"
"332","Lichen"
"333","Lichen"
"334","Lichen"
"335","Lichen"
"336","Lichen"
"337","Lichen"
"338","Lichen"
"339","Lichen"
"340","Lichen"
"341","Lichen"
"342","Lichen"
"343","Lichen"
"344","Lichen"
"345","Lichen"
"346","Lichen"
"347","Lichen"
"348","Lichen"
"349","Lichen"
"350","Lichen"
"351","Lichen"
"352","Lichen"
"353","Lichen"
"354","Lichen"
"355","Lichen"
"356","Lichen"
"357","Lichen"
"358","Lichen"
"359","Lichen"
"360","Lichen"
"361","Lichen"
"362","Lichen"
"363","Lichen"
"364","Lichen"
"365","Lichen"
"366","Lichen"
"367","Lichen"
"368","Lichen"
"369","Abiotic"
"370","Abiotic"
"371","Abiotic"
"372","Abiotic"
"373","Abiotic"
"374","Abiotic"
"375","Abiotic"
"376","Abiotic"
"377","Moss"
"378","Moss"
"379","Moss"
"380","Moss"
"381","Moss"
"382","ShrubEvergreen"
"383","ShrubEvergreen"
"384","ShrubEvergreen"
"385","ShrubEvergreen"
"386","ShrubEvergreen"
"387","ShrubEvergreen"
"388","ShrubEvergreen"
"389","ShrubEvergreen"
"390","ShrubEvergreen"
"391","ShrubEvergreen"
"392","ShrubEvergreen"
"393","ShrubEvergreen"
"394","ShrubEvergreen"
"395","ShrubEvergreen"
"396","ShrubEvergreen"
"397","ShrubEvergreen"
"398","ShrubEvergreen"
"399","ShrubEvergreen"
"400","ShrubEvergreen"
"401","ShrubEvergreen"
"402","ShrubEvergreen"
"403","ShrubEvergreen"
"404","ShrubEvergreen"
"405","ShrubEvergreen"
"406","ShrubEvergreen"
"407","ShrubEvergreen"
"408","ShrubEvergreen"
"409","ShrubEvergreen"
"410","ShrubEvergreen"
"411","ShrubEvergreen"
"412","ShrubEvergreen"
"413","ShrubEvergreen"
"414","ShrubEvergreen"
"415","ShrubEvergreen"
"416","ShrubEvergreen"
"417","ShrubEvergreen"
"418","ShrubEvergreen"
"419","ShrubEvergreen"
"420","ShrubEvergreen"
"421","ShrubEvergreen"
"422","ShrubEvergreen"
"423","ShrubEvergreen"
"424","ShrubEvergreen"
"425","ShrubEvergreen"
"426","ShrubEvergreen"
"427","ShrubEvergreen"
"428","ShrubEvergreen"
"429","ShrubEvergreen"
"430","ShrubEvergreen"
"431","ShrubEvergreen"
"432","ShrubEvergreen"
"433","ShrubEvergreen"
"434","ShrubEvergreen"
"435","ShrubEvergreen"
"436","ShrubEvergreen"
"437","ShrubEvergreen"
"438","Graminoid"
"439","Graminoid"
"440","Graminoid"
"441","Graminoid"
"442","Graminoid"
"443","Graminoid"
"444","Graminoid"
"445","Graminoid"
"446","Graminoid"
"447","Graminoid"
"448","ShrubEvergreen"
"449","ShrubEvergreen"
"450","ShrubEvergreen"
"451","ShrubEvergreen"
"452","ShrubEvergreen"
"453","ShrubEvergreen"
"454","Forb"
"455","Forb"
"456","Forb"
"457","Forb"
"458","Forb"
"459","Forb"
"460","Forb"
"461","Forb"
"462","Forb"
"463","Forb"
"464","Forb"
"465","Graminoid"
"466","Graminoid"
"467","Graminoid"
"468","Graminoid"
"469","Graminoid"
"470","Graminoid"
"471","Graminoid"
"472","Graminoid"
"473","Graminoid"
"474","Graminoid"
"475","Graminoid"
"476","Graminoid"
"477","Graminoid"
"478","Graminoid"
"479","Graminoid"
"480","Graminoid"
"481","Graminoid"
"482","Graminoid"
"483","Graminoid"
"484","Graminoid"
"485","Graminoid"
"486","Graminoid"
"487","Graminoid"
"488","Graminoid"
"489","Graminoid"
"490","Graminoid"
"491","Graminoid"
"492","Graminoid"
"493","Graminoid"
"494","Graminoid"
"495","Graminoid"
"496","Graminoid"
"497","Graminoid"
"498","Graminoid"
"499","Graminoid"
"500","Graminoid"
"501","Graminoid"
"502","Graminoid"
"503","Graminoid"
"504","Graminoid"
"505","Graminoid"
"506","Graminoid"
"507","Graminoid"
"508","Graminoid"
"509","Graminoid"
"510","Graminoid"
"511","Graminoid"
"512","Graminoid"
"513","Lichen"
"514","Lichen"
"515","Lichen"
"516","Lichen"
"517","Lichen"
"518","Lichen"
"519","Lichen"
"520","Lichen"
"521","Lichen"
"522","Lichen"
"523","Lichen"
"524","Lichen"
"525","Lichen"
"526","Lichen"
"527","Lichen"
"528","Lichen"
"529","Lichen"
"530","Lichen"
"531","Forb"
"532","Forb"
"533","Forb"
"534","Forb"
"535","Forb"
"536","Forb"
"537","Forb"
"538","Forb"
"539","Forb"
"540","Moss"
"541","Moss"
"542","Moss"
"543","Moss"
"544","Moss"
"545","Moss"
"546","Moss"
"547","Moss"
"548","Moss"
"549","Moss"
"550","Forb"
"551","Forb"
"552","Forb"
"553","Forb"
"554","ShrubEvergreen"
"555","ShrubEvergreen"
"556","ShrubEvergreen"
"557","ShrubEvergreen"
"558","ShrubEvergreen"
"559","ShrubEvergreen"
"560","ShrubEvergreen"
"561","ShrubEvergreen"
"562","ShrubEvergreen"
"563","ShrubEvergreen"
"564","ShrubEvergreen"
"565","ShrubEvergreen"
"566","ShrubEvergreen"
"567","ShrubEvergreen"
"568","ShrubEvergreen"
"569","ShrubEvergreen"
"570","Forb"
"571","Forb"
"572","Forb"
"573","Forb"
"574","Forb"
"575","Forb"
"576","Forb"
"577","Forb"
"578","Forb"
"579","Forb"
"580","Forb"
"581","Forb"
"582","Lichen"
"583","Lichen"
"584","Lichen"
"585","Lichen"
"586","Lichen"
"587","Lichen"
"588","Lichen"
"589","Lichen"
"590","Lichen"
"591","Lichen"
"592","Lichen"
"593","Lichen"
"594","Lichen"
"595","Lichen"
"596","Lichen"
"597","Lichen"
"598","Lichen"
"599","Lichen"
"600","Lichen"
"601","Lichen"
"602","Lichen"
"603","Lichen"
"604","Lichen"
"605","Lichen"
"606","Lichen"
"607","Lichen"
"608","Lichen"
"609","Lichen"
"610","Lichen"
"611","Lichen"
"612","Lichen"
"613","Lichen"
"614","Lichen"
"615","Lichen"
"616","Lichen"
"617","Lichen"
"618","Lichen"
"619","Lichen"
"620","Lichen"
"621","Lichen"
"622","Lichen"
"623","Lichen"
"624","Lichen"
"625","Lichen"
"626","Lichen"
"627","Lichen"
"628","Lichen"
"629","Lichen"
"630","Forb"
"631","Forb"
"632","Forb"
"633","Forb"
"634","Forb"
"635","Forb"
"636","Forb"
"637","Forb"
"638","Forb"
"639","Forb"
"640","Forb"
"641","Forb"
"642","Forb"
"643","Forb"
"644","Lichen"
"645","Lichen"
"646","Lichen"
"647","Lichen"
"648","Lichen"
"649","Lichen"
"650","Lichen"
"651","Lichen"
"652","Lichen"
"653","Lichen"
"654","Lichen"
"655","Lichen"
"656","Lichen"
"657","Lichen"
"658","Lichen"
"659","Lichen"
"660","Lichen"
"661","Lichen"
"662","Lichen"
"663","Lichen"
"664","Lichen"
"665","Lichen"
"666","Lichen"
"667","Lichen"
"668","Lichen"
"669","Forb"
"670","Forb"
"671","Forb"
"672","Forb"
"673","Forb"
"674","Forb"
"675","Forb"
"676","Forb"
"677","Forb"
"678","Forb"
"679","Forb"
"680","Forb"
"681","Forb"
"682","Forb"
"683","Forb"
"684","Forb"
"685","Forb"
"686","Forb"
"687","Forb"
"688","Forb"
"689","Forb"
"690","Forb"
"691","Forb"
"692","Forb"
"693","Forb"
"694","Forb"
"695","Forb"
"696","Forb"
"697","Forb"
"698","Forb"
"699","Forb"
"700","Forb"
"701","Forb"
"702","Forb"
"703","Forb"
"704","Forb"
"705","Forb"
"706","Forb"
"707","Forb"
"708","Forb"
"709","Forb"
"710","Forb"
"711","Forb"
"712","Forb"
"713","Forb"
"714","Forb"
"715","Forb"
"716","Forb"
"717","Forb"
"718","Forb"
"719","Forb"
"720","Forb"
"721","Forb"
"722","Forb"
"723","Forb"
"724","Forb"
"725","Forb"
"726","Forb"
"727","Forb"
"728","TreeConifer"
"729","TreeConifer"
"730","TreeConifer"
"731","TreeConifer"
"732","TreeConifer"
"733","TreeConifer"
"734","TreeConifer"
"735","TreeConifer"
"736","TreeConifer"
"737","TreeConifer"
"738","TreeConifer"
"739","TreeConifer"
"740","TreeConifer"
"741","TreeConifer"
"742","TreeConifer"
"743","TreeConifer"
"744","TreeConifer"
"745","Abiotic"
"746","Abiotic"
"747","Abiotic"
"748","Abiotic"
"749","Abiotic"
"750","Lichen"
"751","Lichen"
"752","Lichen"
"753","Lichen"
"754","Lichen"
"755","Lichen"
"756","Lichen"
"757","Lichen"
"758","Lichen"
"759","Lichen"
"760","Lichen"
"761","Lichen"
"762","Lichen"
"763","Lichen"
"764","Lichen"
"765","Moss"
"766","Moss"
"767","Moss"
"768","Moss"
"769","Moss"
"770","Moss"
"771","Moss"
"772","Moss"
"773","Moss"
"774","Moss"
"775","Moss"
"776","Moss"
"777","Moss"
"778","Moss"
"779","Moss"
"780","Moss"
"781","Moss"
"782","Moss"
"783","Moss"
"784","Moss"
"785","Moss"
"786","Moss"
"787","Moss"
"788","Moss"
"789","Moss"
"790","Moss"
"791","Moss"
"792","TreeBroadleaf"
"793","TreeBroadleaf"
"794","TreeBroadleaf"
"795","TreeBroadleaf"
"796","TreeBroadleaf"
"797","TreeBroadleaf"
"798","TreeBroadleaf"
"799","TreeBroadleaf"
"800","Lichen"
"801","Lichen"
"802","Lichen"
"803","Lichen"
"804","Lichen"
"805","Lichen"
"806","Lichen"
"807","Lichen"
"808","Lichen"
"809","Lichen"
"810","Lichen"
"811","Abiotic"
"812","Abiotic"
"813","Abiotic"
"814","Abiotic"
"815","Abiotic"
"816","Abiotic"
"817","Abiotic"
"818","Abiotic"
"819","Abiotic"
"820","Abiotic"
"821","Abiotic"
"822","Abiotic"
"823","Abiotic"
"824","Abiotic"
"825","Abiotic"
"826","Abiotic"
"827","Abiotic"
"828","Abiotic"
"829","Abiotic"
"830","Abiotic"
"831","Abiotic"
"832","Abiotic"
"833","Abiotic"
"834","Abiotic"
"835","Abiotic"
"836","Moss"
"837","Moss"
"838","Moss"
"839","Moss"
"840","Lichen"
"841","Lichen"
"842","Lichen"
"843","Lichen"
"844","Lichen"
"845","Lichen"
"846","Lichen"
"847","Lichen"
"848","Lichen"
"849","Lichen"
"850","Lichen"
"851","Lichen"
"852","Lichen"
"853","Lichen"
"854","Lichen"
"855","Lichen"
"856","Lichen"
"857","Lichen"
"858","Lichen"
"859","Lichen"
"860","Lichen"
"861","Moss"
"862","Moss"
"863","Moss"
"864","Moss"
"865","Moss"
"866","Moss"
"867","ShrubDecid"
"868","ShrubDecid"
"869","ShrubDecid"
"870","ShrubDecid"
"871","ShrubDecid"
"872","ShrubDecid"
"873","ShrubDecid"
"874","ShrubDecid"
"875","ShrubDecid"
"876","ShrubDecid"
"877","ShrubDecid"
"878","ShrubDecid"
"879","ShrubDecid"
"880","ShrubDecid"
"881","ShrubDecid"
"882","ShrubDecid"
"883","ShrubDecid"
"884","ShrubDecid"
"885","ShrubDecid"
"886","ShrubDecid"
"887","ShrubDecid"
"888","ShrubDecid"
"889","ShrubDecid"
"890","ShrubDecid"
"891","ShrubDecid"
"892","ShrubDecid"
"893","ShrubDecid"
"894","ShrubDecid"
"895","ShrubDecid"
"896","ShrubDecid"
"897","ShrubDecid"
"898","ShrubDecid"
"899","ShrubDecid"
"900","ShrubDecid"
"901","ShrubDecid"
"902","ShrubDecid"
"903","ShrubDecid"
"904","ShrubDecid"
"905","ShrubDecid"
"906","ShrubDecid"
"907","ShrubDecid"
"908","ShrubDecid"
"909","ShrubDecid"
"910","ShrubDecid"
"911","ShrubDecid"
"912","ShrubDecid"
"913","ShrubDecid"
"914","ShrubDecid"
"915","ShrubDecid"
"916","ShrubDecid"
"917","ShrubDecid"
"918","ShrubDecid"
"919","ShrubDecid"
"920","ShrubDecid"
"921","ShrubDecid"
"922","ShrubDecid"
"923","ShrubDecid"
"924","ShrubDecid"
"925","ShrubDecid"
"926","ShrubDecid"
"927","ShrubDecid"
"928","ShrubDecid"
"929","ShrubDecid"
"930","ShrubDecid"
"931","ShrubDecid"
"932","ShrubDecid"
"933","ShrubDecid"
"934","ShrubDecid"
"935","ShrubDecid"
"936","ShrubDecid"
"937","ShrubDecid"
"938","ShrubDecid"
"939","ShrubDecid"
"940","ShrubDecid"
"941","ShrubDecid"
"942","ShrubDecid"
"943","ShrubDecid"
"944","ShrubDecid"
"945","ShrubDecid"
"946","ShrubDecid"
"947","ShrubDecid"
"948","ShrubDecid"
"949","ShrubDecid"
"950","ShrubDecid"
"951","ShrubDecid"
"952","ShrubDecid"
"953","ShrubDecid"
"954","ShrubDecid"
"955","ShrubDecid"
"956","ShrubDecid"
"957","ShrubDecid"
"958","ShrubDecid"
"959","ShrubDecid"
"960","ShrubDecid"
"961","ShrubDecid"
"962","ShrubDecid"
"963","ShrubDecid"
"964","ShrubDecid"
"965","ShrubDecid"
"966","ShrubDecid"
"967","ShrubDecid"
"968","ShrubDecid"
"969","ShrubDecid"
"970","ShrubDecid"
"971","ShrubDecid"
"972","ShrubDecid"
"973","ShrubDecid"
"974","ShrubDecid"
"975","ShrubDecid"
"976","ShrubDecid"
"977","ShrubDecid"
"978","ShrubDecid"
"979","ShrubDecid"
"980","ShrubDecid"
"981","ShrubDecid"
"982","ShrubDecid"
"983","ShrubDecid"
"984","ShrubDecid"
"985","ShrubDecid"
"986","ShrubDecid"
"987","ShrubDecid"
"988","ShrubDecid"
"989","ShrubDecid"
"990","ShrubDecid"
"991","ShrubDecid"
"992","ShrubDecid"
"993","ShrubDecid"
"994","ShrubDecid"
"995","ShrubDecid"
"996","ShrubDecid"
"997","ShrubDecid"
"998","ShrubDecid"
"999","ShrubDecid"
"1000","ShrubDecid"
"1001","ShrubDecid"
"1002","ShrubDecid"
"1003","ShrubDecid"
"1004","ShrubDecid"
"1005","ShrubDecid"
"1006","ShrubDecid"
"1007","ShrubDecid"
"1008","ShrubDecid"
"1009","ShrubDecid"
"1010","ShrubDecid"
"1011","ShrubDecid"
"1012","Forb"
"1013","Forb"
"1014","Forb"
"1015","Forb"
"1016","Forb"
"1017","Forb"
"1018","Forb"
"1019","Forb"
"1020","Forb"
"1021","Forb"
"1022","Forb"
"1023","Forb"
"1024","Moss"
"1025","Moss"
"1026","Moss"
"1027","Moss"
"1028","Moss"
"1029","Moss"
"1030","Moss"
"1031","Moss"
"1032","Lichen"
"1033","Lichen"
"1034","Lichen"
"1035","Lichen"
"1036","Lichen"
"1037","Lichen"
"1038","Lichen"
"1039","Lichen"
"1040","Forb"
"1041","Forb"
"1042","Forb"
"1043","Forb"
"1044","Moss"
"1045","Moss"
"1046","Lichen"
"1047","Lichen"
"1048","Lichen"
"1049","Lichen"
"1050","Lichen"
"1051","Lichen"
"1052","Lichen"
"1053","Lichen"
"1054","Lichen"
"1055","Lichen"
"1056","Lichen"
"1057","Lichen"
"1058","Lichen"
"1059","Lichen"
"1060","Lichen"
"1061","Lichen"
"1062","Lichen"
"1063","Lichen"
"1064","Lichen"
"1065","Lichen"
"1066","Lichen"
"1067","Lichen"
"1068","Lichen"
"1069","Lichen"
"1070","ShrubDecid"
"1071","ShrubDecid"
"1072","ShrubDecid"
"1073","ShrubDecid"
"1074","ShrubDecid"
"1075","ShrubDecid"
"1076","ShrubEvergreen"
"1077","ShrubEvergreen"
"1078","ShrubEvergreen"
"1079","ShrubEvergreen"
"1080","ShrubEvergreen"
"1081","ShrubEvergreen"
"1082","ShrubEvergreen"
"1083","ShrubEvergreen"
"1084","ShrubEvergreen"
"1085","ShrubEvergreen"
"1086","ShrubEvergreen"
"1087","ShrubEvergreen"
"1088","ShrubEvergreen"
"1089","Lichen"
"1090","Lichen"
"1091","Lichen"
"1092","Lichen"
"1093","Lichen"
"1094","ShrubDecid"
"1095","ShrubDecid"
"1096","ShrubDecid"
"1097","ShrubDecid"
"1098","ShrubDecid"
"1099","ShrubDecid"
"1100","ShrubDecid"
"1101","ShrubDecid"
"1102","ShrubDecid"
"1103","ShrubDecid"
"1104","ShrubDecid"
"1105","ShrubDecid"
"1106","ShrubDecid"
"1107","ShrubDecid"
"1108","ShrubDecid"
"1109","ShrubDecid"
"1110","ShrubDecid"
"1111","ShrubDecid"
"1112","ShrubDecid"
"1113","ShrubDecid"
"1114","Lichen"
"1115","Lichen"
"1116","Lichen"
"1117","Lichen"
"1118","ShrubDecid"
"1119","ShrubDecid"
"1120","ShrubDecid"
"1121","ShrubDecid"
"1122","ShrubDecid"
"1123","ShrubDecid"
"1124","ShrubDecid"
"1125","ShrubDecid"
"1126","ShrubDecid"
"1127","ShrubDecid"
"1128","Moss"
"1129","Moss"
"1130","Moss"
"1131","Moss"
"1132","Moss"
"1133","Moss"
"1134","Moss"
"1135","Moss"
"1136","Abiotic"
"1137","Abiotic"
"1138","Abiotic"
"1139","Abiotic"
"1140","Abiotic"
"1141","Abiotic"
"1142","Abiotic"
"1143","TreeBroadleaf"
"1144","TreeBroadleaf"
"1145","TreeBroadleaf"
"1146","TreeBroadleaf"
"1147","TreeBroadleaf"
"1148","TreeBroadleaf"
"1149","TreeBroadleaf"
"1150","TreeBroadleaf"
"1151","TreeBroadleaf"
"1152","Lichen"
"1153","Lichen"
"1154","Lichen"
"1155","Lichen"
"1156","Lichen"
"1157","Lichen"
"1158","Lichen"
"1159","Lichen"
"1160","Lichen"
"1161","Lichen"
"1162","Lichen"
"1163","Lichen"
"1164","Lichen"
"1165","Lichen"
"1166","Lichen"
"1167","Lichen"
"1168","Lichen"
"1169","Lichen"
"1170","Lichen"
"1171","Lichen"
"1172","Lichen"
"1173","Lichen"
"1174","Lichen"
"1175","Lichen"
"1176","Lichen"
"1177","Lichen"
"1178","Lichen"
"1179","Lichen"
"1180","Lichen"
"1181","Lichen"
"1182","Lichen"
"1183","Lichen"
"1184","ShrubEvergreen"
"1185","ShrubEvergreen"
"1186","Lichen"
"1187","Lichen"
"1188","Lichen"
"1189","Lichen"
"1190","Lichen"
"1191","Lichen"
"1192","Lichen"
"1193","Lichen"
"1194","Lichen"
"1195","Lichen"
"1196","Lichen"
"1197","Abiotic"
"1198","Abiotic"
"1199","Abiotic"
"1200","Abiotic"
"1201","Moss"
"1202","Moss"
"1203","Moss"
"1204","ShrubEvergreen"
"1205","ShrubEvergreen"
"1206","ShrubEvergreen"
"1207","Forb"
"1208","Forb"
"1209","Forb"
"1210","Forb"
"1211","Forb"
"1212","Forb"
"1213","Forb"
"1214","Forb"
"1215","Forb"
"1216","Forb"
"1217","Forb"
"1218","Lichen"
"1219","Lichen"
"1220","Lichen"
"1221","Lichen"
"1222","Lichen"
"1223","Lichen"
"1224","Lichen"
"1225","Lichen"
"1226","Lichen"
"1227","Lichen"
"1228","Lichen"
"1229","Lichen"
"1230","Lichen"
"1231","Lichen"
"1232","Lichen"
"1233","Lichen"
"1234","Lichen"
"1235","Lichen"
"1236","Lichen"
"1237","Lichen"
"1238","Lichen"
"1239","Lichen"
"1240","Lichen"
"1241","Lichen"
"1242","Lichen"
"1243","Lichen"
"1244","Lichen"
"1245","Lichen"
"1246","Lichen"
"1247","Lichen"
"1248","Forb"
"1249","Forb"
"1250","Forb"
"1251","Forb"
"1252","Forb"
"1253","Forb"
"1254","Forb"
"1255","Forb"
"1256","Forb"
"1257","Forb"
"1258","Forb"
"1259","Forb"
"1260","Forb"
"1261","Forb"
"1262","Forb"
"1263","Forb"
"1264","Forb"
"1265","Forb"
"1266","Moss"
"1267","Moss"
"1268","Moss"
"1269","Moss"
"1270","Moss"
"1271","Moss"
"1272","Moss"
"1273","Moss"
"1274","Moss"
"1275","Moss"
"1276","Moss"
"1277","Moss"
"1278","Moss"
"1279","Moss"
"1280","Moss"
"1281","Moss"
"1282","Moss"
"1283","Moss"
"1284","Moss"
"1285","Moss"
"1286","Moss"
"1287","Moss"
"1288","Moss"
"1289","Moss"
"1290","Abiotic"
"1291","Abiotic"
"1292","Abiotic"
"1293","Abiotic"
"1294","Abiotic"
"1295","Abiotic"
"1296","Abiotic"
"1297","Abiotic"
"1298","Abiotic"
"1299","Abiotic"
"1300","Abiotic"
"1301","Abiotic"
"1302","Abiotic"
"1303","Abiotic"
"1304","Abiotic"
"1305","Abiotic"
"1306","Abiotic"
"1307","Abiotic"
"1308","Abiotic"
"1309","Abiotic"
"1310","Abiotic"
"1311","Abiotic"
"1312","Abiotic"
"1313","Abiotic"
"1314","Abiotic"
"1315","Lichen"
"1316","Lichen"
"1317","Lichen"
"1318","Lichen"
"1319","Lichen"
"1320","Lichen"
"1321","Lichen"
"1322","Lichen"
"1323","Lichen"
"1324","Lichen"
"1325","Lichen"
"1326","Lichen"
"1327","Lichen"
"1328","Lichen"
"1329","Moss"
"1330","Moss"
"1331","Moss"
"1332","Moss"
"1333","Moss"
"1334","Moss"
"1335","Forb"
"1336","Forb"
"1337","Forb"
"1338","Moss"
"1339","Moss"
"1340","Lichen"
"1341","Lichen"
"1342","Lichen"
"1343","Lichen"
