Code_name,Species_name,Genus,Functionalgroup2,Functional_group1,Functional_Group0
ERVA4,Eriophorum vaginatum,Eriophorum,GraminoidSedge,Graminoid,Graminoid
bryoria,Bryoria sp.,Bryoria,DarkTerrestrialMacrolichen,Lichen,Lichen
cetisl,Cetraria islandica,Cetraria,DarkTerrestrialMacrolichen,Lichen,Lichen
cetlae,Cetraria laevigata,Cetraria,DarkTerrestrialMacrolichen,Lichen,Lichen
masric,Masonhalea richardsonii,Masonhalea,DarkTerrestrialMacrolichen,Lichen,Lichen
melanelia,Melanelia sp.,Melanelia,DarkTerrestrialMacrolichen,Lichen,Lichen
melhep,Melanelia sp.,Melanelia,DarkTerrestrialMacrolichen,Lichen,Lichen
pelapt,Peltigera apthosa,Peltigera,DarkTerrestrialMacrolichen,Lichen,Lichen
pelleu,Peltigers leucophlebia,Peltigera,DarkTerrestrialMacrolichen,Lichen,Lichen
pelmal,Peltigera malacea,Peltigera,DarkTerrestrialMacrolichen,Lichen,Lichen
pelsca,Peltigera scabrata,Peltigera,DarkTerrestrialMacrolichen,Lichen,Lichen
orange_Porpidia,Porpidia sp.,Porpidia,DarkTerrestrialMacrolichen,Lichen,Lichen
grey_rhizocarpon,Rhizocarpon sp.,Rhizocarpon,DarkTerrestrialMacrolichen,Lichen,Lichen
umbarc,Umbilicaria arctica,Umbilicaria,DarkTerrestrialMacrolichen,Lichen,Lichen
umbhyp,Umbilicaria hyperborea,Umbilicaria,DarkTerrestrialMacrolichen,Lichen,Lichen
icmeri,Icmadophila ericetorum,Icmadophila,LightTerrestrialCrustose,Lichen,Lichen
pilaci,Pilophorus acicularis,Pilophorus,LightTerrestrialCrustose,Lichen,Lichen
stepas,Stereocaulon sp.,Stereocaulon,LightTerrestrialCrustose,Lichen,Lichen
stetas,Stereocaulon sp.,Stereocaulon,LightTerrestrialCrustose,Lichen,Lichen
tragra,Trapelopsis granulosa,Trapeliopsis,LightTerrestrialCrustose,Lichen,Lichen
aleoch,Alectoria ochroleuca,Alectoria,LightTerrestrialMacrolichen,Lichen,Lichen
arccen,Arctocetraria centrifuga,Arctocetraria,LightTerrestrialMacrolichen,Lichen,Lichen
asachr,Asahinea chrysantha,Asahinea,LightTerrestrialMacrolichen,Lichen,Lichen
clacor,Cladonia cornuta,Cladonia,LightTerrestrialMacrolichen,Lichen,Lichen
clagra,Cladonia gracilis,Cladonia,LightTerrestrialMacrolichen,Lichen,Lichen
claran,Cladonia rangiferina,Cladonia,LightTerrestrialMacrolichen,Lichen,Lichen
clasty,Cladonia stygia,Cladonia,LightTerrestrialMacrolichen,Lichen,Lichen
hypaus,Hypogymnia austerodes,Hypogymnia,LightTerrestrialMacrolichen,Lichen,Lichen
paromp,Parmelia omphalodes,Parmelia,LightTerrestrialMacrolichen,Lichen,Lichen
parsul,Parmelis sulcata,Parmelia,LightTerrestrialMacrolichen,Lichen,Lichen
arctop,Unknown,Unknown,LightTerrestrialMacrolichen,Lichen,Lichen
rhigeo,Rhizocarpon geographicum,Rhizocarpon,YellowTerrestrialCrustose,Lichen,Lichen
claama,Cladonia amaurocraea,Cladonia,YellowTerrestrialMacrolichen,Lichen,Lichen
clamit,Cladonia mitis,Cladonia,YellowTerrestrialMacrolichen,Lichen,Lichen
claste,Cladonia steallaris,Cladonia,YellowTerrestrialMacrolichen,Lichen,Lichen
clasul,Cladonia sulphurina,Cladonia,YellowTerrestrialMacrolichen,Lichen,Lichen
claunc,Cladonia uncialis,Cladonia,YellowTerrestrialMacrolichen,Lichen,Lichen
dacarc,Dactylina arctica,Dactylina,YellowTerrestrialMacrolichen,Lichen,Lichen
evemes,Evernia mesomorpha,Evernia,YellowTerrestrialMacrolichen,Lichen,Lichen
clacuc,Flavocetraria cucculata,Flavocetraria,YellowTerrestrialMacrolichen,Lichen,Lichen
flacuc,Flavocetraria cucculata,Flavocetraria,YellowTerrestrialMacrolichen,Lichen,Lichen
flaniv,Flavocetraria nivalis,Flavocetraria,YellowTerrestrialMacrolichen,Lichen,Lichen
neparc,Nephroma arcticum,Nephroma,YellowTerrestrialMacrolichen,Lichen,Lichen
naparc,Nephroma arcticum,Nephroma,YellowTerrestrialMacrolichen,Lichen,Lichen
paramb,Parmeliopsis ambigua,Parmeliopsis,YellowTerrestrialMacrolichen,Lichen,Lichen
usnlap,Usnea lapponica,Usnea,YellowTerrestrialMacrolichen,Lichen,Lichen
usnsca,Usnea scabrata,Usnea,YellowTerrestrialMacrolichen,Lichen,Lichen
vulpin,Vulpicida pinastri,Vulpicida,YellowTerrestrialMacrolichen,Lichen,Lichen
aulpal,Aulacomnium palustre,Aulacomnium,MossAcrocarp,Moss,Moss
aultur,Aulacomnium turgidum,Aulacomnium,MossAcrocarp,Moss,Moss
cerpur,Ceratadon purpureus,Ceratadon,MossAcrocarp,Moss,Moss
dicranum,Dicranum sp.,Dicranum,MossAcrocarp,Moss,Moss
plagiomnium,Plagiomnium sp.,Plagiomnium,MossAcrocarp,Moss,Moss
poljen,Polytrichum juniperinum,Polytrichum,MossAcrocarp,Moss,Moss
poljun,Polytrichum juniperinum,Polytrichum,MossAcrocarp,Moss,Moss
polstr,Polytrichum strictum,Polytrichum,MossAcrocarp,Moss,Moss
polytrichum,Polytrichum sp.,Polytrichum,MossAcrocarp,Moss,Moss
raclan,Racomitrium lanoiginosum,Racomitrium,MossAcrocarp,Moss,Moss
hylspl,Hylocomium splendens,Hylocomnium,MossPleurocarp,Moss,Moss
hypspl,Hylocomium splendens,Hylocomnium,MossPleurocarp,Moss,Moss
plesch,Pleurozium schreberi,Pleurozium,MossPleurocarp,Moss,Moss
rhyrug,Rhytidum rugosum,Rhytidium,MossPleurocarp,Moss,Moss
tomnit,Tomenthypnum nitens,Tomenthypnum,MossPleurocarp,Moss,Moss
sphagn,Sphagnum sp.,Sphagnum,MossSphagnum,Moss,Moss
sphfus,Sphagnum fuscum,Sphagnum,MossSphagnum,Moss,Moss
alnfru,Alnus sp.,Alnus,ShrubAlder,ShrubDecid,BroadleafDecid
alninc,Alnus sp.,Alnus,ShrubAlder,ShrubDecid,BroadleafDecid
ALVI5,Alnus sp.,Alnus,ShrubAlder,ShrubDecid,BroadleafDecid
betnan,Betula nana,Betula,ShrubBetula,ShrubDecid,BroadleafDecid
BEGL,Betula nana,Betula,ShrubBetula,ShrubDecid,BroadleafDecid
BENA,Betula nana,Betula,ShrubBetula,ShrubDecid,BroadleafDecid
BEPU4,Betula nana,Betula,ShrubBetula,ShrubDecid,BroadleafDecid
arcnig,Arctostaphyllos,Arctostaphyllos,ShrubDecidOther,ShrubDecid,BroadleafDecid
arcrub,Arctostaphyllos,Arctostaphyllos,ShrubDecidOther,ShrubDecid,BroadleafDecid
arcsta,Arctostaphyllos,Arctostaphyllos,ShrubDecidOther,ShrubDecid,BroadleafDecid
ARALA7,Arctostaphyllos,Arctostaphyllos,ShrubDecidOther,ShrubDecid,BroadleafDecid
rhutyp,Rhus typhina,Rhus,ShrubDecidOther,ShrubDecid,BroadleafDecid
rosaci,Rosa acicularis,Rosa,ShrubDecidOther,ShrubDecid,BroadleafDecid
rosasc,Rosa acicularis,Rosa,ShrubDecidOther,ShrubDecid,BroadleafDecid
rubcam,Rubus sp.,Rubus,ShrubDecidOther,ShrubDecid,BroadleafDecid
rubcha,Rubus sp.,Rubus,ShrubDecidOther,ShrubDecid,BroadleafDecid
RUCH,Rubus sp.,Rubus,ShrubDecidOther,ShrubDecid,BroadleafDecid
vaculi,Vaccinium uliginosum,Vaccinium,ShrubDecidOther,ShrubDecid,BroadleafDecid
VAUL,Vaccinium uliginosum,Vaccinium,ShrubDecidOther,ShrubDecid,BroadleafDecid
salala,Salix alaxensis,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
salarb,Salix arbusculoides,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
salgla,Salix glauca,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
sallan,Salix lanata,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
salova,Salix ovalifolia,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
Salova,Salix ovalifolia,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
salpul,Salix pulchra,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
salric,Salix richardsonii,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
wooly_salix,Salix (wooly),Salix,ShrubSalix,ShrubDecid,BroadleafDecid
SAPU15,Salix pulchra,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
SAPH,Salix phlebophylla,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
SARI4,Salix richardsonii,Salix,ShrubSalix,ShrubDecid,BroadleafDecid
castet,Cassiope tetragona,Cassiope,ShrubEvergreenNeedle,ShrubEvergreen,ConiferEvergreen
dryala,Dryas sp.,Dryas,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
dryhyb,Dryas sp.,Dryas,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
dryoct,Dryas sp.,Dryas,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
empnig,Empetrum nigrum,Empetrum,ShrubEvergreenNeedle,ShrubEvergreen,ConiferEvergreen
EMNI,Empetrum nigrum,Empetrum,ShrubEvergreenNeedle,ShrubEvergreen,ConiferEvergreen
leddec,Ledum decumbens,Ledum,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
LEDUM,Ledum decumbens,Ledum,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
loipro,Loisleuria procumbens,Loisleuria,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
KAPR,Loisleuria procumbens,Loisleuria,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
vacvit,Vaccinium vitis-idea,Vaccinium,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
VAVI,Vaccinium vitis-idea,Vaccinium,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
DROCA2,Dryas sp.,Dryas,ShrubEvergreenBroadleaf,ShrubEvergreen,ConiferEvergreen
betall,Betula alleghaniensis,Betula,TreeBetula,TreeBroadleaf,BroadleafDecid
betneo,Betula neoalaskana,Betula,TreeBetula,TreeBroadleaf,BroadleafDecid
betpap,Betula papyrifera,Betula,TreeBetula,TreeBroadleaf,BroadleafDecid
betpop,Betula populifolia,Betula,TreeBetula,TreeBroadleaf,BroadleafDecid
acerub,Acer rubrum,Acer,TreeBroadleafOther,TreeBroadleaf,BroadleafDecid
acepen,Acer pensylvanicum,Acer,TreeBroadleafOther,TreeBroadleaf,BroadleafDecid
faggra,Fagus grandifolia,Fagus,TreeBroadleafOther,TreeBroadleaf,BroadleafDecid
fraame,Fraxinus americana,Fagus,TreeBroadleafOther,TreeBroadleaf,BroadleafDecid
prupen,Prunus pensylvanica,Prunus,TreeBroadleafOther,TreeBroadleaf,BroadleafDecid
querub,Quercus Rubra,Quercus,TreeBroadleafOther,TreeBroadleaf,BroadleafDecid
popbal,Populus balsamifera,Populus,TreePopulus,TreeBroadleaf,BroadleafDecid
popgra,Populus grandidentata,Populus,TreePopulus,TreeBroadleaf,BroadleafDecid
popbal,Populus balsamifera,Populus,TreePopulus,TreeBroadleaf,BroadleafDecid
abibal,Abies balsamea,Abies,TreeConiferOther,TreeConifer,ConiferEvergreen
larlar,Larix larcina,Larix,TreeConiferOther,TreeConifer,ConiferEvergreen
pinstr,Pinus strobus,Pinus,TreeConiferOther,TreeConifer,ConiferEvergreen
thuocc,Thuja occidentalis,Thuja,TreeConiferOther,TreeConifer,ConiferEvergreen
tsucan,Tsuga canadensis,Tsuga,TreeConiferOther,TreeConifer,ConiferEvergreen
picmar,Picea mariana,Picea,TreeSpruce,TreeConifer,ConiferEvergreen
picrub,Picea rubens,Picea,TreeSpruce,TreeConifer,ConiferEvergreen
DAFRF,Unknown,,Unknown,Unknown,Unknown
SAG,Unknown,,Unknown,Unknown,Unknown
