source,outliers,preprocessing,model_id
grd_raw_raw.csv,no_treatment,no_treatment,f2cf6a2a-376a-45c2-9116-e4b9d764a3e0
grd_raw_raw.csv,no_treatment,min_max,e54accd5-5834-45d5-8bb4-8c655c417dc7
grd_raw_raw.csv,no_treatment,min_max,192c2653-36d6-4f21-bbcf-f98f230c8370
grd_raw_raw.csv,no_treatment,min_max,bc2ea8db-4433-4129-a394-99a280a35c0b
grd_raw_raw.csv,no_treatment,robust,25f41ff0-dd16-48d3-af42-f39a68fe0e43
grd_raw_raw.csv,no_treatment,robust,5ea6582b-f371-4b55-97a2-6e9663a6458a
grd_raw_raw.csv,no_treatment,robust,2038371b-a0bb-445c-86f3-5d61accf7a44
grd_raw_raw.csv,no_treatment,standard,a2b9e1e9-e9e2-4cd1-a4bf-0c84ff8d6b90
grd_raw_raw.csv,no_treatment,standard,b4081247-b5f9-4946-9c84-1e4f0435cff0
grd_raw_raw.csv,no_treatment,standard,ace611f3-8c07-43c4-9f44-866cfc3a96f5
grd_raw_corrected.csv,clip,no_treatment,56646925-94d2-4078-b1b1-e55e09a25319
grd_raw_corrected.csv,clip,no_treatment,6e25d224-59be-4238-894e-f0a682d62d4f
grd_raw_corrected.csv,clip,no_treatment,d066221d-8867-4043-b77a-fbeb4359c5c5
grd_raw_corrected.csv,clip,min_max,3a44fc5b-f8fd-42a4-8af2-9069431a14ae
grd_raw_corrected.csv,clip,min_max,60402b4a-5125-4756-9c04-5ec8dfaaf408
grd_raw_corrected.csv,clip,min_max,8836fa80-8820-454d-bf6f-40d962b66319
grd_raw_corrected.csv,clip,robust,3cc12426-af3e-436d-a6c4-98644f0d7199
grd_raw_corrected.csv,clip,robust,2ccd594f-c177-4a8d-8571-c1f8b66f9bab
grd_raw_corrected.csv,clip,robust,80ee250f-d175-40b6-ba77-0a9f7a7076f7
grd_raw_corrected.csv,clip,standard,670343ff-f288-4db2-b6ef-b2a599087eff
grd_raw_corrected.csv,clip,standard,2322617a-9a95-419b-b9eb-6dd8fc5e9f4c
grd_raw_corrected.csv,clip,standard,58b2a15f-6519-4c43-8746-cc10783472eb
grd_raw_corrected.csv,no_treatment,no_treatment,d8e4abbc-d8ee-416d-b30c-f19339e3651c
grd_raw_corrected.csv,no_treatment,no_treatment,d4f8da1e-86f8-40cd-9af1-8726d0e51716
grd_raw_corrected.csv,no_treatment,no_treatment,ca074c96-4def-4cc3-9446-2d5bdeac855c
grd_raw_corrected.csv,no_treatment,min_max,15e0dfee-b149-49a6-9691-83c849885af2
grd_raw_corrected.csv,no_treatment,min_max,6d8b53c7-02cf-41f2-a2cf-b2f4da929f25
grd_raw_corrected.csv,no_treatment,min_max,1096e5ab-7ea2-47a4-996c-0da976b80fa0
grd_raw_corrected.csv,no_treatment,robust,97cfcde2-6106-43d7-96cc-205edb13c215
grd_raw_corrected.csv,no_treatment,robust,a136435b-ba29-4957-9734-7ee6cc9b15c6
grd_raw_corrected.csv,no_treatment,robust,875e5629-01af-4756-8fe2-c7fb0664e889
grd_raw_corrected.csv,no_treatment,standard,6362eeca-306d-407b-b6ec-c616818f4446
grd_raw_corrected.csv,no_treatment,standard,5fa2e190-fdd0-453d-9bbc-ec4dccf0d751
grd_raw_corrected.csv,no_treatment,standard,2adef7e0-c738-4b75-8a46-e614dc353dbf
img_raw_raw.csv,clip,no_treatment,66fb896b-ee83-4e31-bd05-78c0197430be
img_raw_raw.csv,clip,no_treatment,667f34c3-1a8c-441d-9a96-b729093e4547
img_raw_raw.csv,clip,no_treatment,0dd746f7-ce91-4298-b326-54654ca67d3f
img_raw_raw.csv,clip,min_max,6ba1bea2-3875-4cbc-b5c9-a0e6885df152
img_raw_raw.csv,clip,min_max,b8023d91-2713-409b-8dfb-be61336db1ac
img_raw_raw.csv,clip,min_max,1eaefd63-9852-4f1b-88f5-23caa850dbc0
img_raw_raw.csv,clip,robust,f375dbd5-40f9-4d08-8f86-32fa82194b16
img_raw_raw.csv,clip,robust,25cf337e-433d-4c9c-a6a4-241e130412d9
img_raw_raw.csv,clip,robust,89e84e6e-1392-402c-89ce-e770e65d6125
img_raw_raw.csv,clip,standard,03a4bdc6-7322-4d54-80e2-b158c7f69b07
img_raw_raw.csv,clip,standard,1a4b3702-78ed-4c08-81b7-a525efafed63
img_raw_raw.csv,clip,standard,1bad9a82-3910-45f0-b027-9c62e8e69124
img_raw_raw.csv,no_treatment,no_treatment,ad8a90ee-48d3-4fa8-b0c8-99dadcbe62ee
img_raw_raw.csv,no_treatment,no_treatment,66d619be-19b5-4f9a-b2ca-4c101f231e90
img_raw_raw.csv,no_treatment,no_treatment,29ac9db9-678a-4fec-9b12-aa96ad9675c4
img_raw_raw.csv,no_treatment,min_max,9ac3d014-7538-4f34-bc8a-1eb8f8880703
img_raw_raw.csv,no_treatment,min_max,912217c3-6eda-407e-8cb4-933467287d51
img_raw_raw.csv,no_treatment,min_max,f8a7db19-7d75-4fe7-b12c-e1987c167dc7
img_raw_raw.csv,no_treatment,robust,ca24dbf5-06b8-442f-9e38-af90c93bff8e
img_raw_raw.csv,no_treatment,robust,68a69f34-60db-4d2b-ab70-32ca73b05433
img_raw_raw.csv,no_treatment,robust,fae76bfd-5cf6-4b3e-9954-7b441ac65fd1
img_raw_raw.csv,no_treatment,standard,3f1e427b-e4ed-474b-b84c-7062f1b1eb52
img_raw_raw.csv,no_treatment,standard,c7ee945d-1a13-4e1c-9dab-a11778cf85e7
img_raw_raw.csv,no_treatment,standard,634dd40d-abf4-464d-8016-aba32965b676
img_indices_only.csv,clip,no_treatment,46e8d386-ee16-41dd-8c8d-3812c7486d9a
img_indices_only.csv,clip,no_treatment,068b1365-02f7-4d07-a886-d2f46cecc0ce
img_indices_only.csv,clip,no_treatment,4af38121-cdf0-4315-b641-ebb5c97492e5
img_indices_only.csv,clip,min_max,9fa56d5d-5068-4428-b1a0-993744b89cbe
img_indices_only.csv,clip,min_max,a32f4db7-4d8d-4461-aef5-fdcf11376d1e
img_indices_only.csv,clip,min_max,f2e1fec7-02d5-4290-b53e-a1ceda819d11
img_indices_only.csv,clip,robust,16fb0174-73b9-45b4-b73a-1cff7cef0919
img_indices_only.csv,clip,robust,528cacc0-da35-48b9-aa0f-92fb29a7d437
img_indices_only.csv,clip,robust,d9139774-81f5-4c6c-aef7-cffa8e29742c
img_indices_only.csv,clip,standard,23d09fda-f107-4f04-9991-bd908ec9c9e8
img_indices_only.csv,clip,standard,274da1d6-3488-451f-8f8b-ca50730b8832
img_indices_only.csv,clip,standard,ea4324fb-893d-457d-9a35-bdc676cb12d1
img_indices_only.csv,no_treatment,no_treatment,d7c8845e-9cd9-4589-beec-11cc536da4bd
img_indices_only.csv,no_treatment,no_treatment,0f06d0b1-d19e-434b-ab3d-7edeb98de691
img_indices_only.csv,no_treatment,no_treatment,f490ddbc-3aa5-437a-8fd6-f6dacbfdadba
img_indices_only.csv,no_treatment,min_max,953b68e7-f68a-469b-a504-77d733b9b49c
img_indices_only.csv,no_treatment,min_max,7210f4b1-be26-4020-8551-0e0b71ebeeb9
img_indices_only.csv,no_treatment,min_max,99ce93d0-752b-4997-af9d-04ac5345478a
img_indices_only.csv,no_treatment,robust,37a8eca5-a726-40fe-9c39-0b00ffbec496
img_indices_only.csv,no_treatment,robust,450c1a26-d549-4811-b108-4d5008499b55
img_indices_only.csv,no_treatment,robust,4815b7ca-1abb-4932-a02b-c598e1d6c43b
img_indices_only.csv,no_treatment,standard,b98a709c-51c4-4627-8a4a-ab94037778cd
img_indices_only.csv,no_treatment,standard,324789b5-05e5-4554-8a87-a25df90a44d2
img_indices_only.csv,no_treatment,standard,fd14b5b0-b460-4593-a151-fb5a6b2aca5a
grd_indices_only.csv,clip,no_treatment,7ea57d08-6b21-412a-a2e0-4a1eed2dcbb0
grd_indices_only.csv,clip,no_treatment,eb0f8b94-99c1-4740-a69b-08f3de171b1d
grd_indices_only.csv,clip,no_treatment,e5a50c25-17a4-4739-944c-ea482ec2512e
grd_indices_only.csv,clip,min_max,8a94b409-c2ff-452b-868e-dc4cf90398ae
grd_indices_only.csv,clip,min_max,acd5aaed-fbc3-4eca-8614-4e7bf8494931
grd_indices_only.csv,clip,min_max,c6fe868f-a318-4493-be4b-b166935f68a1
grd_indices_only.csv,clip,robust,bf14ae43-9fe6-496f-9b0a-65a396b5c9fd
grd_indices_only.csv,clip,robust,ff9baef3-4a06-49ea-b24f-e290521aff1c
grd_indices_only.csv,clip,robust,72f87ce5-f7df-456b-a57f-92842b917d08
grd_indices_only.csv,clip,standard,32b3e04f-d2ed-40c6-806f-4c2e3dcf652f
grd_indices_only.csv,clip,standard,2dc2c783-3587-480c-91c1-5ebf25864fc8
grd_indices_only.csv,clip,standard,c2bf4f6f-737d-4f4f-9ee7-c6749cf22bef
grd_indices_only.csv,no_treatment,no_treatment,25d1e956-2c4e-47a6-9c99-6128f3bd5236
grd_indices_only.csv,no_treatment,no_treatment,70715923-e260-43a7-a9e2-b146719da3fe
grd_indices_only.csv,no_treatment,no_treatment,a6adb913-3d8d-4d0b-80e0-9555a51613f0
grd_indices_only.csv,no_treatment,min_max,ce9b4971-1d9b-421b-86e7-157eaead7472
grd_indices_only.csv,no_treatment,min_max,ed9d192b-1916-4697-a7f7-e1f64b3961de
grd_indices_only.csv,no_treatment,min_max,3d3df53f-320e-4139-b27f-64a497463fe8
grd_indices_only.csv,no_treatment,robust,cb3d3af2-1548-4a8c-b1ba-25c0d15eb2be
grd_indices_only.csv,no_treatment,robust,a1aacd68-90c2-412a-b381-f43fe3205906
grd_indices_only.csv,no_treatment,robust,251f66fa-424e-4c59-9d68-9a60dac7ae9a
grd_indices_only.csv,no_treatment,standard,b779b141-3f81-486c-afbb-eea2d9103a4d
grd_indices_only.csv,no_treatment,standard,c6a93f88-f6a7-4dc6-92e3-69b3b42fc438
grd_indices_only.csv,no_treatment,standard,4f6f815c-c4e1-4575-a008-946d7e30f43b
