"Class1","Class2","Class3","Class4"
"hypspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"icmeri","Icmadophila ericetorum","Lichen_Light","Lichen"
"irisit","Iris sp.","Forb","Forb"
"larlar","Larix Larcina","Tree_Needle","Tree"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"loipro","Loisleuria procumbens","Dwarf_Shrub_Broad","Dwarf Shrub"
"luparc","Lupinus sp.","Forb","Forb"
"masric","Masonhalea richardsonii","Lichen_Dark","Lichen"
"melanelia","Melanelia sp.","Lichen_Dark","Lichen"
"melhep","Melanelia sp.","Lichen_Dark","Lichen"
"neparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"naparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"orange_Porpidia","Porpidia sp.","Lichen_Dark","Lichen"
"paramb","Parmeliopsis ambigua","Lichen_Yellow","Lichen"
"paromp","Parmelia omphalodes","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"pedrac","Pedicularis racemosa","Forb","Forb"
"pedsud","Pedicularis sudetica","Forb","Forb"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen"
"pelmal","Peltigera malacea","Lichen_Dark","Lichen"
"pelsca","Peltigera scabrata","Lichen_Dark","Lichen"
"petfri","Petasites frigida","Forb","Forb"
"picmar","Picea mariana","Tree_Needle","Tree"
"picrub","Picea rubens","Tree_Needle","Tree"
"pilaci","Pilophorus acicularis","Lichen_Light","Lichen"
"pinstr","Pinus strobus","Tree_Needle","Tree"
"plagiomnium","Plagiomnium sp.","Moss_Acrocarp","Moss"
"popbal","Populus balsamifera","Tree_Broad","Tree"
"popgra","Populus grandidentata","Tree_Broad","Tree"
"prupen","Prunus pensylvanica","Tree_Broad","Tree"
"plesch","Pleurozium schreberi","Moss_Pleurocarp","Moss"
"poljen","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"poljun","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"polstr","Polytrichum strictum","Moss_Acrocarp","Moss"
"polytrichum","Polytrichum sp.","Moss_Acrocarp","Moss"
"popbal","Populus balsamifera","Tree_Broad","Tree"
"quartz","Quartz","Abiotic_Rock","Abiotic"
"querub","Quercus Rubra","Tree_Broad","Tree"
"raclan","Racomitrium lanoiginosum","Moss_Pleurocarp","Moss"
"rhigeo","Rhizocarpon geographicum","Lichen_Dark","Lichen"
"rhyrug","Rhytidum rugosum","Moss_Acrocarp","Moss"
"rhutyp","Rhus typhina","Shrub_Other","Shrub"
"rosaci","Rosa acicularis","Forb","Forb"
"rosasc","Rosa acicularis","Forb","Forb"
"rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"salala","Salix alaxensis","Shrub_Salix","Shrub"
"salarb","Salix arbusculoides","Shrub_Salix","Shrub"
"salgla","Salix glauca","Shrub_Salix","Shrub"
"sallan","Salix lanata","Shrub_Salix","Shrub"
"salova","Salix ovalifolia","Shrub_Salix","Shrub"
"Salova","Salix ovalifolia","Shrub_Salix","Shrub"
"salpul","Salix pulchra","Shrub_Salix","Shrub"
"salric","Salix richardsonii","Shrub_Salix","Shrub"
"sphagn","Sphagnum sp.","Moss_Sphagnum","Moss"
"sphfus","Sphagnum fuscum","Moss_Sphagnum","Moss"
"spruce bark","Pices (bark)","Abiotic_Litter","Abiotic"
"stepas","Stereocaulon sp.","Lichen_Light","Lichen"
"stetas","Stereocaulon sp.","Lichen_Light","Lichen"
"thuocc","Thuja occidentalis","Tree_Needle","Tree"
"toefeldia","Toefeldia sp.","Forb","Forb"
"tomnit","Tomenthypnum nitens","Moss_Pleurocarp","Moss"
"tragra","Trapelopsis granulosa","Lichen_Light","Lichen"
"tsucan","Tsuga canadensis","Tree_Needle","Tree"
"umbarc","Umbilicaria arctica","Lichen_Dark","Lichen"
"umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnsca","Usnea scabrata","Lichen_Yellow","Lichen"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"wooly_salix","Salix (wooly)","Shrub_Salix","Shrub"
