"PFT","PFT_2","PFT_3","PFT_4"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"icmeri","Icmadophila ericetorum","Lichen_Light","Lichen"
"icmeri","Icmadophila ericetorum","Lichen_Light","Lichen"
"icmeri","Icmadophila ericetorum","Lichen_Light","Lichen"
"icmeri","Icmadophila ericetorum","Lichen_Light","Lichen"
"icmeri","Icmadophila ericetorum","Lichen_Light","Lichen"
"icmeri","Icmadophila ericetorum","Lichen_Light","Lichen"
"icmeri","Icmadophila ericetorum","Lichen_Light","Lichen"
"icmeri","Icmadophila ericetorum","Lichen_Light","Lichen"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"sphfus","Sphagnum fuscum","Moss_Sphagnum","Moss"
"sphfus","Sphagnum fuscum","Moss_Sphagnum","Moss"
"sphfus","Sphagnum fuscum","Moss_Sphagnum","Moss"
"sphfus","Sphagnum fuscum","Moss_Sphagnum","Moss"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen"
"arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen"
"arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen"
"arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen"
"asachr","Asahinea chrysantha","Lichen_Yellow","Lichen"
"asachr","Asahinea chrysantha","Lichen_Yellow","Lichen"
"asachr","Asahinea chrysantha","Lichen_Yellow","Lichen"
"asachr","Asahinea chrysantha","Lichen_Yellow","Lichen"
"aultur","Aulacomnium turgidum","Moss_Acrocarp","Moss"
"aultur","Aulacomnium turgidum","Moss_Acrocarp","Moss"
"aultur","Aulacomnium turgidum","Moss_Acrocarp","Moss"
"aultur","Aulacomnium turgidum","Moss_Acrocarp","Moss"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betnan","Betula nana","Shrub_Other","Shrub"
"betneo","Betula neoalaskana","Tree_Broad","Tree"
"betneo","Betula neoalaskana","Tree_Broad","Tree"
"betneo","Betula neoalaskana","Tree_Broad","Tree"
"betneo","Betula neoalaskana","Tree_Broad","Tree"
"cerpur","Ceratadon purpureus","Moss_Acrocarp","Moss"
"cerpur","Ceratadon purpureus","Moss_Acrocarp","Moss"
"cerpur","Ceratadon purpureus","Moss_Acrocarp","Moss"
"cerpur","Ceratadon purpureus","Moss_Acrocarp","Moss"
"cerpur","Ceratadon purpureus","Moss_Acrocarp","Moss"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"claste","Cladonia steallaris","Lichen_Yellow","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"claunc","Cladonia uncialis","Lichen_Yellow","Lichen"
"claunc","Cladonia uncialis","Lichen_Yellow","Lichen"
"claunc","Cladonia uncialis","Lichen_Yellow","Lichen"
"claunc","Cladonia uncialis","Lichen_Yellow","Lichen"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub"
"erivag","Eriophorum vaginatum","Graminoid_Sedge","Graminoid"
"erivag","Eriophorum vaginatum","Graminoid_Sedge","Graminoid"
"erivag","Eriophorum vaginatum","Graminoid_Sedge","Graminoid"
"erivag","Eriophorum vaginatum","Graminoid_Sedge","Graminoid"
"erivag","Eriophorum vaginatum","Graminoid_Sedge","Graminoid"
"flacuc","Flavocetraria cucculata","Lichen_Yellow","Lichen"
"flacuc","Flavocetraria cucculata","Lichen_Yellow","Lichen"
"flacuc","Flavocetraria cucculata","Lichen_Yellow","Lichen"
"flacuc","Flavocetraria cucculata","Lichen_Yellow","Lichen"
"flaniv","Flavocetraria nivalis","Lichen_Yellow","Lichen"
"flaniv","Flavocetraria nivalis","Lichen_Yellow","Lichen"
"flaniv","Flavocetraria nivalis","Lichen_Yellow","Lichen"
"flaniv","Flavocetraria nivalis","Lichen_Yellow","Lichen"
"flaniv","Flavocetraria nivalis","Lichen_Yellow","Lichen"
"flaniv","Flavocetraria nivalis","Lichen_Yellow","Lichen"
"flaniv","Flavocetraria nivalis","Lichen_Yellow","Lichen"
"hypspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hypspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hypspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hypspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"leddec","Ledum decumbens","Shrub_Other","Shrub"
"neparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"neparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"neparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"neparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"paromp","Parmelia omphalodes","Lichen_Light","Lichen"
"paromp","Parmelia omphalodes","Lichen_Light","Lichen"
"paromp","Parmelia omphalodes","Lichen_Light","Lichen"
"paromp","Parmelia omphalodes","Lichen_Light","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"poljen","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"poljen","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"poljen","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"poljen","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"raclan","Racomitrium lanoiginosum","Moss_Pleurocarp","Moss"
"raclan","Racomitrium lanoiginosum","Moss_Pleurocarp","Moss"
"raclan","Racomitrium lanoiginosum","Moss_Pleurocarp","Moss"
"raclan","Racomitrium lanoiginosum","Moss_Pleurocarp","Moss"
"rhigeo","Rhizocarpon geographicum","Lichen_Dark","Lichen"
"rhigeo","Rhizocarpon geographicum","Lichen_Dark","Lichen"
"rhigeo","Rhizocarpon geographicum","Lichen_Dark","Lichen"
"rhigeo","Rhizocarpon geographicum","Lichen_Dark","Lichen"
"rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub"
"stepas","Stereocaulon sp.","Lichen_Light","Lichen"
"stepas","Stereocaulon sp.","Lichen_Light","Lichen"
"stepas","Stereocaulon sp.","Lichen_Light","Lichen"
"stepas","Stereocaulon sp.","Lichen_Light","Lichen"
"stetas","Stereocaulon sp.","Lichen_Light","Lichen"
"stetas","Stereocaulon sp.","Lichen_Light","Lichen"
"stetas","Stereocaulon sp.","Lichen_Light","Lichen"
"stetas","Stereocaulon sp.","Lichen_Light","Lichen"
"umbarc","Umbilicaria arctica","Lichen_Dark","Lichen"
"umbarc","Umbilicaria arctica","Lichen_Dark","Lichen"
"umbarc","Umbilicaria arctica","Lichen_Dark","Lichen"
"umbarc","Umbilicaria arctica","Lichen_Dark","Lichen"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"vacvit","Vaccinium vitis-idea","Shrub_Other","Shrub"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"bryoria","Bryoria sp.","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"cetisl","Cetraria islandica","Lichen_Dark","Lichen"
"clacor","Cladonia cornuta","Lichen_Dark","Lichen"
"clacor","Cladonia cornuta","Lichen_Dark","Lichen"
"clacor","Cladonia cornuta","Lichen_Dark","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"clamit","Cladonia mitis","Lichen_Yellow","Lichen"
"claran","Cladonia rangiferina","Lichen_Light","Lichen"
"claran","Cladonia rangiferina","Lichen_Light","Lichen"
"claran","Cladonia rangiferina","Lichen_Light","Lichen"
"claran","Cladonia rangiferina","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasty","Cladonia stygia","Lichen_Light","Lichen"
"clasul","Cladonia sulphurina","Lichen_Yellow","Lichen"
"clasul","Cladonia sulphurina","Lichen_Yellow","Lichen"
"clasul","Cladonia sulphurina","Lichen_Yellow","Lichen"
"dicranum","Dicranum sp.","Moss_Acrocarp","Moss"
"dicranum","Dicranum sp.","Moss_Acrocarp","Moss"
"dicranum","Dicranum sp.","Moss_Acrocarp","Moss"
"dicranum","Dicranum sp.","Moss_Acrocarp","Moss"
"dicranum","Dicranum sp.","Moss_Acrocarp","Moss"
"evemes","Evernia mesomorpha","Lichen_Yellow","Lichen"
"evemes","Evernia mesomorpha","Lichen_Yellow","Lichen"
"hylspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hylspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hylspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hylspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hylspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hylspl","Hylocomium splendens","Moss_Pleurocarp","Moss"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen"
"melanelia","Melanelia sp.","Lichen_Dark","Lichen"
"melanelia","Melanelia sp.","Lichen_Dark","Lichen"
"melanelia","Melanelia sp.","Lichen_Dark","Lichen"
"melanelia","Melanelia sp.","Lichen_Dark","Lichen"
"melanelia","Melanelia sp.","Lichen_Dark","Lichen"
"naparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"naparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"naparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"naparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"naparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"naparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"naparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"naparc","Nephroma arcticum","Lichen_Yellow","Lichen"
"paramb","Parmeliopsis ambigua","Lichen_Yellow","Lichen"
"paramb","Parmeliopsis ambigua","Lichen_Yellow","Lichen"
"paramb","Parmeliopsis ambigua","Lichen_Yellow","Lichen"
"paramb","Parmeliopsis ambigua","Lichen_Yellow","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"parsul","Parmelis sulcata","Lichen_Light","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelapt","Peltigera apthosa","Lichen_Dark","Lichen"
"pelsca","Peltigera scabrata","Lichen_Dark","Lichen"
"pelsca","Peltigera scabrata","Lichen_Dark","Lichen"
"pelsca","Peltigera scabrata","Lichen_Dark","Lichen"
"pelsca","Peltigera scabrata","Lichen_Dark","Lichen"
"pelsca","Peltigera scabrata","Lichen_Dark","Lichen"
"pelsca","Peltigera scabrata","Lichen_Dark","Lichen"
"pelsca","Peltigera scabrata","Lichen_Dark","Lichen"
"poljun","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"poljun","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"poljun","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"poljun","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"poljun","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"poljun","Polytrichum juniperinum","Moss_Acrocarp","Moss"
"tragra","Trapelopsis granulosa","Lichen_Light","Lichen"
"tragra","Trapelopsis granulosa","Lichen_Light","Lichen"
"tragra","Trapelopsis granulosa","Lichen_Light","Lichen"
"tragra","Trapelopsis granulosa","Lichen_Light","Lichen"
"tragra","Trapelopsis granulosa","Lichen_Light","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnlap","Usnea lapponica","Lichen_Yellow","Lichen"
"usnsca","Usnea scabrata","Lichen_Yellow","Lichen"
"usnsca","Usnea scabrata","Lichen_Yellow","Lichen"
"usnsca","Usnea scabrata","Lichen_Yellow","Lichen"
"usnsca","Usnea scabrata","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"vulpin","Vulpicida pinastri","Lichen_Yellow","Lichen"
"aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen"
"aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen"
"aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen"
"aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen"
"aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen"
"aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen"
"arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
"arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub"
